date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M_RANGE,WS10M,WD10M,WS10M_MAX,WS10M_MIN
2003-01-27,17.38,7.99,12.68,16.82,13.82,24.95,11.13,6.61,56.72,0.0,101.42,2.0,2.09,29.5,3.13,1.13
2003-01-28,18.0,9.46,13.73,17.61,15.74,26.11,10.37,7.31,61.05,0.0,101.4,2.4,2.2,42.5,3.31,0.91
2003-01-29,17.49,10.86,14.18,17.7,14.06,25.4,11.34,8.05,67.93,3.45,101.41,6.03,2.99,13.9,6.61,0.58
2003-01-30,17.54,12.97,15.25,17.19,9.44,22.98,13.54,9.21,75.89,20.84,101.41,2.09,1.4,34.0,2.34,0.25
2003-01-31,19.57,13.19,16.38,19.77,13.49,27.04,13.55,9.34,69.47,0.0,101.48,3.08,1.97,68.9,3.44,0.36
2003-02-01,19.78,12.83,16.3,20.14,13.99,27.46,13.47,9.11,67.24,0.43,101.63,2.2,2.81,49.9,3.8,1.6
2003-02-02,20.85,13.98,17.41,21.2,14.92,29.07,14.15,9.83,67.71,0.31,101.66,2.28,3.24,353.6,4.56,2.28
2003-02-03,21.62,14.72,18.17,21.77,14.1,29.35,15.25,10.33,67.34,0.0,101.47,2.29,3.1,341.7,4.51,2.22
2003-02-04,22.18,14.22,18.2,22.2,14.48,29.94,15.46,10.01,62.96,0.0,101.42,2.32,2.7,342.3,4.09,1.77
2003-02-05,20.14,13.39,16.77,20.44,11.49,26.17,14.68,9.48,66.86,0.1,101.51,2.94,3.6,325.4,5.12,2.18
2003-02-06,20.79,13.84,17.31,21.37,11.57,26.95,15.38,9.75,66.65,0.17,101.41,1.01,2.4,324.7,3.09,2.08
2003-02-07,20.71,11.93,16.32,20.71,11.58,27.3,15.72,8.62,59.35,0.0,101.23,1.85,1.92,6.7,2.84,0.99
2003-02-08,20.37,11.5,15.93,20.55,13.77,27.67,13.9,8.39,59.62,0.0,101.1,2.87,2.07,88.9,3.38,0.51
2003-02-09,20.54,12.65,16.6,21.04,13.82,27.6,13.78,9.06,63.35,0.53,101.1,3.1,2.31,89.4,3.46,0.36
2003-02-10,21.72,14.07,17.9,22.49,13.71,29.42,15.71,9.93,64.92,0.5,101.2,2.32,2.15,39.6,3.18,0.86
2003-02-11,21.83,13.6,17.72,22.5,13.68,29.15,15.47,9.62,62.67,0.12,101.23,1.61,2.37,20.9,3.17,1.56
2003-02-12,20.5,14.14,17.32,21.06,12.1,27.73,15.63,9.97,69.38,9.22,101.17,4.34,3.01,18.2,4.91,0.57
2003-02-13,21.34,14.25,17.79,21.08,11.68,27.04,15.36,10.05,66.21,1.86,101.09,2.36,1.47,336.6,2.54,0.18
2003-02-14,21.2,12.15,16.68,21.04,11.72,27.85,16.13,8.85,58.19,0.05,101.15,2.54,1.99,315.1,3.25,0.71
2003-02-15,19.27,7.34,13.31,18.66,12.32,26.59,14.27,6.34,47.92,0.0,101.44,2.88,2.3,15.9,3.48,0.6
2003-02-16,19.4,8.0,13.7,19.72,16.66,28.33,11.67,6.61,51.65,0.0,101.47,1.88,2.73,33.7,3.46,1.58
2003-02-17,20.71,9.2,14.95,20.69,16.01,28.98,12.97,7.19,50.98,0.0,101.39,2.59,2.28,23.8,3.1,0.51
2003-02-18,22.06,11.42,16.74,22.23,16.88,30.59,13.71,8.33,54.86,0.0,101.34,1.89,2.13,43.3,3.12,1.23
2003-02-19,22.56,13.6,18.08,23.02,15.73,30.7,14.97,9.64,60.77,16.84,101.23,1.88,2.2,53.0,3.12,1.24
2003-02-20,22.73,14.91,18.82,23.2,13.84,30.49,16.65,10.5,64.13,1.09,101.17,1.62,2.97,342.1,3.95,2.33
2003-02-21,21.68,12.77,17.22,22.12,12.78,28.67,15.89,9.22,60.55,0.0,101.25,3.04,3.07,317.3,4.56,1.52
2003-02-22,19.84,8.84,14.34,20.2,14.9,27.5,12.6,7.01,52.73,0.0,101.37,1.93,2.4,323.7,3.25,1.32
2003-02-23,20.72,9.84,15.28,20.97,14.78,28.42,13.64,7.5,52.44,0.0,101.26,0.8,2.43,333.4,2.85,2.05
2003-02-24,21.51,9.78,15.64,21.49,13.85,29.22,15.37,7.48,49.85,0.0,101.14,1.19,2.44,335.1,2.92,1.73
2003-02-25,22.57,10.5,16.53,22.24,13.92,30.23,16.31,7.87,48.53,0.0,101.0,2.67,2.33,341.5,3.39,0.72
2003-02-26,23.22,12.07,17.65,23.15,14.13,30.7,16.57,8.73,51.84,0.17,101.01,1.97,1.85,320.2,2.45,0.48
2003-02-27,24.09,12.37,18.23,24.17,15.62,32.33,16.71,8.9,51.41,0.32,101.12,2.03,2.26,3.3,3.23,1.2
2003-02-28,23.95,13.79,18.87,24.69,15.29,31.66,16.37,9.76,56.86,1.3,101.14,3.0,2.09,53.7,3.4,0.4
2003-03-01,25.52,14.52,20.02,25.95,15.56,33.09,17.53,10.27,53.76,0.0,100.95,1.77,2.21,339.7,3.15,1.38
2003-03-02,26.82,14.96,20.89,27.16,13.28,33.92,20.64,10.57,50.71,0.36,100.82,1.78,1.96,318.1,2.83,1.05
2003-03-03,27.02,14.9,20.96,26.79,16.58,35.43,18.85,10.6,51.79,0.0,100.69,3.41,2.8,231.0,4.12,0.71
2003-03-04,26.43,13.37,19.9,26.99,17.35,36.02,18.67,9.68,48.73,0.01,100.49,3.07,3.86,268.4,5.93,2.86
2003-03-05,21.4,2.52,11.96,21.36,14.75,28.91,14.16,4.64,32.1,0.0,100.8,4.98,3.22,312.6,6.17,1.19
2003-03-06,21.0,2.62,11.81,20.51,16.14,29.65,13.51,4.62,33.14,0.0,101.06,3.21,2.41,334.4,3.73,0.52
2003-03-07,20.94,3.67,12.31,20.77,16.71,29.64,12.93,4.96,35.27,0.0,101.04,1.98,2.55,351.5,3.15,1.17
2003-03-08,21.47,4.93,13.2,21.4,16.23,30.41,14.18,5.41,37.31,0.0,101.03,2.47,2.48,337.9,3.42,0.95
2003-03-09,21.25,6.94,14.1,21.98,17.69,30.48,12.79,6.17,43.29,0.0,101.22,1.82,3.01,21.9,3.87,2.05
2003-03-10,22.78,7.58,15.18,22.87,16.28,31.56,15.28,6.47,41.13,0.0,101.1,2.54,2.42,346.2,3.22,0.68
2003-03-11,23.34,12.41,17.87,23.15,14.22,30.32,16.1,9.03,52.17,1.29,101.03,3.05,2.38,173.4,3.99,0.94
2003-03-12,22.61,18.31,20.46,23.12,8.73,28.11,19.38,13.06,78.1,17.24,101.22,3.57,2.12,100.5,4.18,0.61
2003-03-13,21.89,16.32,19.11,22.23,8.31,26.46,18.15,11.51,73.4,0.09,101.43,4.88,2.25,195.4,5.53,0.65
2003-03-14,23.49,18.01,20.75,24.22,10.61,28.66,18.05,12.8,72.67,7.87,101.28,1.53,2.74,183.6,3.54,2.01
2003-03-15,24.62,18.95,21.78,25.67,11.34,30.35,19.01,13.6,72.91,3.62,101.0,1.25,2.14,188.0,2.73,1.48
2003-03-16,25.51,18.72,22.11,26.27,11.43,31.46,20.03,13.47,69.73,2.81,100.89,2.77,2.01,186.8,3.21,0.44
2003-03-17,24.31,20.14,22.22,25.03,9.23,29.33,20.1,14.63,79.25,13.25,101.17,1.63,2.78,171.9,3.65,2.02
2003-03-18,24.36,18.51,21.43,24.5,9.25,29.02,19.77,13.22,72.19,1.4,101.27,2.55,1.61,113.5,2.94,0.39
2003-03-19,25.68,15.7,20.69,26.05,14.26,32.42,18.16,11.06,57.36,0.49,101.09,2.15,2.19,185.2,3.15,1.0
2003-03-20,25.76,13.53,19.65,25.82,13.4,32.63,19.23,9.78,51.79,3.9,100.93,1.62,1.83,278.3,2.45,0.83
2003-03-21,26.11,14.67,20.39,26.38,14.49,32.65,18.16,10.41,51.71,3.6,100.97,2.83,2.15,154.1,3.49,0.66
2003-03-22,25.7,15.22,20.46,26.59,14.8,33.05,18.25,10.73,56.22,0.59,101.13,2.25,2.24,71.4,3.49,1.24
2003-03-23,26.83,13.74,20.29,27.19,14.02,33.44,19.42,9.73,46.78,0.0,101.13,1.96,1.37,41.2,2.42,0.46
2003-03-24,27.3,14.03,20.67,27.68,15.04,34.31,19.27,9.94,47.07,0.0,101.0,2.01,1.87,38.3,3.1,1.09
2003-03-25,28.3,14.66,21.48,28.28,13.97,34.89,20.92,10.36,45.22,0.11,100.92,1.71,1.6,244.6,2.65,0.94
2003-03-26,27.64,18.37,23.0,28.26,12.83,33.6,20.77,13.15,60.11,6.71,101.02,2.35,1.55,174.8,2.52,0.17
2003-03-27,27.23,19.56,23.39,27.61,9.23,31.36,22.13,14.16,64.69,7.94,101.04,2.15,1.17,140.7,2.45,0.3
2003-03-28,27.67,17.61,22.64,28.17,11.73,33.29,21.56,12.51,56.53,0.0,100.89,1.1,1.4,57.6,1.99,0.89
2003-03-29,28.5,16.76,22.63,29.2,12.68,34.39,21.71,11.88,51.13,0.0,100.66,1.96,1.25,207.9,2.58,0.62
2003-03-30,27.15,20.03,23.59,27.96,10.91,32.71,21.8,14.62,67.45,10.54,100.63,3.09,3.68,197.9,5.71,2.62
2003-03-31,26.7,22.69,24.7,27.15,8.66,31.37,22.71,17.24,80.17,23.28,100.5,3.24,4.97,190.6,6.92,3.68
2003-04-01,27.1,20.81,23.96,27.25,10.37,32.76,22.39,15.49,72.01,26.98,100.42,3.33,3.61,212.5,5.18,1.85
2003-04-02,25.97,20.23,23.1,26.15,14.35,33.39,19.04,14.95,74.24,19.95,100.36,3.36,4.39,212.1,5.98,2.62
2003-04-03,28.04,22.13,25.08,28.62,12.39,34.71,22.32,16.73,74.06,0.03,100.46,3.39,3.98,190.0,5.21,1.82
2003-04-04,27.72,23.05,25.38,28.36,8.68,32.62,23.94,17.6,77.73,1.33,100.72,2.51,2.75,170.8,4.2,1.69
2003-04-05,28.67,20.73,24.7,29.01,11.2,34.05,22.85,15.27,65.04,0.02,100.72,1.14,0.94,56.4,1.5,0.36
2003-04-06,29.57,19.98,24.77,29.83,12.36,35.25,22.89,14.53,58.37,0.0,100.78,1.67,1.4,16.0,1.92,0.25
2003-04-07,30.59,19.45,25.02,30.54,13.77,37.27,23.5,14.08,54.26,0.0,100.91,2.16,2.15,213.3,3.03,0.87
2003-04-08,29.73,14.04,21.88,29.41,15.32,37.48,22.16,10.43,45.66,0.0,100.75,3.22,2.73,280.8,4.37,1.15
2003-04-09,29.43,13.53,21.48,28.91,15.69,37.74,22.05,9.8,42.71,0.0,100.65,2.96,1.85,252.0,3.22,0.26
2003-04-10,29.43,18.33,23.88,29.97,16.87,37.6,20.73,13.23,55.81,0.06,100.72,2.8,2.84,202.1,4.47,1.67
2003-04-11,30.23,20.23,25.23,31.21,14.4,37.49,23.09,14.89,60.05,0.13,100.76,3.83,3.88,203.7,6.21,2.38
2003-04-12,29.76,21.63,25.7,30.31,14.45,37.77,23.32,16.27,66.57,1.39,100.5,4.03,5.28,200.3,7.35,3.32
2003-04-13,30.52,22.94,26.73,31.17,12.47,37.81,25.34,17.65,68.55,1.67,100.43,2.71,5.52,186.4,7.24,4.53
2003-04-14,30.26,22.79,26.52,31.17,11.27,36.73,25.46,17.38,67.85,1.72,100.66,2.78,4.24,160.4,5.75,2.97
2003-04-15,30.21,22.02,26.11,31.6,12.02,36.58,24.56,16.54,64.59,0.66,100.65,2.97,2.42,155.3,3.62,0.65
2003-04-16,30.43,21.65,26.04,31.83,12.27,36.85,24.58,16.16,62.47,0.13,100.72,3.27,2.82,167.5,5.02,1.75
2003-04-17,30.8,22.71,26.75,31.67,13.43,37.92,24.49,17.28,65.39,1.1,100.52,2.76,4.98,185.8,6.36,3.6
2003-04-18,31.24,23.3,27.27,32.44,11.98,37.83,25.85,17.95,66.27,1.6,100.52,2.96,4.71,179.2,6.29,3.33
2003-04-19,30.97,23.15,27.06,32.14,11.61,37.29,25.68,17.8,66.38,3.03,100.38,1.8,4.39,177.6,5.23,3.43
2003-04-20,29.72,23.65,26.69,30.56,10.99,36.22,25.23,18.31,72.72,12.33,100.39,2.57,4.75,169.4,5.95,3.38
2003-04-21,29.08,23.05,26.06,30.12,10.95,35.5,24.55,17.64,73.06,8.68,100.53,2.94,4.44,169.5,5.63,2.69
2003-04-22,30.06,23.18,26.62,30.82,12.26,36.89,24.63,17.76,70.0,10.81,100.59,2.19,4.38,186.0,5.39,3.2
2003-04-23,29.95,22.71,26.33,31.17,11.14,35.84,24.7,17.26,67.96,5.24,100.71,2.88,2.93,170.6,4.82,1.94
2003-04-24,30.26,22.68,26.47,31.48,10.87,35.75,24.88,17.19,66.07,0.01,100.68,1.78,2.5,145.4,3.59,1.81
2003-04-25,30.79,22.15,26.47,32.06,11.99,36.75,24.76,16.67,62.75,0.16,100.59,0.87,2.14,147.0,2.52,1.65
2003-04-26,31.4,21.98,26.69,32.54,13.2,38.04,24.84,16.52,60.38,0.79,100.46,3.68,3.7,165.1,5.91,2.23
2003-04-27,31.69,23.12,27.4,32.86,12.03,37.98,25.95,17.76,63.68,2.35,100.36,2.27,3.46,159.5,4.64,2.37
2003-04-28,29.67,23.53,26.6,30.66,7.97,34.13,26.16,18.15,71.15,4.14,100.6,2.27,2.58,112.8,3.91,1.64
2003-04-29,29.89,23.43,26.66,30.8,9.36,34.93,25.57,17.98,69.66,19.05,100.81,2.91,1.87,98.7,3.23,0.32
2003-04-30,29.01,22.49,25.75,29.64,8.09,33.37,25.28,16.98,69.5,8.04,100.87,2.84,2.33,66.9,3.34,0.5
2003-05-01,27.83,19.53,23.68,28.64,10.65,33.19,22.54,14.22,63.09,0.21,100.61,2.96,2.24,177.1,3.39,0.43
2003-05-02,27.73,22.62,25.17,28.48,8.85,32.67,23.82,17.24,76.01,19.47,100.35,2.04,3.11,171.1,4.06,2.02
2003-05-03,29.06,24.79,26.92,29.65,9.77,34.21,24.44,19.66,79.53,20.39,100.16,4.87,4.13,195.1,6.63,1.76
2003-05-04,30.16,25.16,27.66,30.61,10.47,36.4,25.93,20.13,76.79,8.05,100.0,3.16,6.62,173.9,8.28,5.12
2003-05-05,30.14,22.3,26.22,30.43,10.79,36.46,25.67,17.37,68.49,1.48,100.1,4.34,4.55,195.1,6.33,1.99
2003-05-06,30.27,23.83,27.05,30.92,10.95,36.47,25.52,18.62,72.24,3.1,100.2,3.06,4.73,181.1,6.57,3.51
2003-05-07,29.96,24.28,27.12,30.64,9.91,35.62,25.71,19.03,73.99,5.52,100.37,2.49,3.95,162.7,5.24,2.75
2003-05-08,29.62,23.9,26.76,30.14,9.24,34.56,25.32,18.56,73.25,14.72,100.5,1.65,2.97,132.1,3.67,2.02
2003-05-09,29.65,22.54,26.09,30.53,9.87,34.75,24.88,17.05,67.71,0.44,100.69,1.64,2.37,70.6,3.17,1.53
2003-05-10,30.07,20.8,25.44,30.61,10.56,35.55,24.99,15.33,59.75,1.69,100.73,2.92,2.05,63.0,3.75,0.83
2003-05-11,30.02,19.76,24.89,31.15,12.89,36.54,23.65,14.38,56.98,0.0,100.56,2.91,2.32,65.5,4.06,1.15
2003-05-12,30.55,19.91,25.23,31.65,13.5,37.31,23.81,14.54,56.13,3.44,100.44,3.54,2.75,70.8,4.71,1.17
2003-05-13,30.47,20.7,25.58,31.48,11.76,36.47,24.71,15.27,58.2,0.0,100.39,2.27,2.59,51.7,4.14,1.87
2003-05-14,30.84,22.62,26.73,32.3,9.79,36.02,26.23,17.23,63.59,0.01,100.31,3.51,2.35,140.0,4.54,1.03
2003-05-15,29.1,23.65,26.37,30.34,7.37,33.09,25.72,18.35,73.89,0.48,100.21,2.76,2.51,85.9,3.99,1.23
2003-05-16,31.02,22.23,26.62,32.66,13.21,37.67,24.46,16.89,63.9,0.12,100.15,5.79,1.94,150.2,5.92,0.13
2003-05-17,31.21,23.22,27.22,32.54,10.66,36.92,26.26,17.96,65.85,0.19,100.1,3.77,3.72,176.7,6.22,2.45
2003-05-18,32.05,22.72,27.39,33.6,12.5,38.7,26.2,17.48,61.88,0.24,99.96,4.15,2.43,162.6,4.49,0.34
2003-05-19,31.93,21.86,26.89,33.28,11.09,37.34,26.25,16.51,57.97,0.65,100.06,2.63,1.35,95.9,2.96,0.33
2003-05-20,32.73,22.09,27.41,34.14,12.62,39.14,26.52,16.76,56.48,4.39,100.21,5.65,3.05,174.7,6.6,0.95
2003-05-21,29.88,24.12,27.0,30.46,7.92,34.17,26.25,18.85,72.63,20.32,100.47,3.33,5.64,174.4,7.3,3.97
2003-05-22,30.14,23.55,26.84,31.2,10.94,35.91,24.97,18.2,70.2,2.63,100.32,1.39,3.59,156.2,4.37,2.98
2003-05-23,30.13,23.91,27.02,30.94,9.12,35.31,26.19,18.63,71.11,2.26,100.29,2.13,3.37,149.5,4.68,2.55
2003-05-24,30.89,23.62,27.25,32.07,10.44,36.28,25.84,18.29,67.64,6.26,100.35,1.78,3.33,176.1,4.38,2.6
2003-05-25,30.92,23.99,27.45,31.87,10.62,36.76,26.14,18.73,69.3,7.66,100.32,2.4,4.26,196.0,5.49,3.09
2003-05-26,31.06,24.34,27.7,31.57,11.02,37.37,26.35,19.18,70.46,13.47,100.12,3.0,4.33,171.4,5.54,2.54
2003-05-27,32.23,23.56,27.9,32.61,14.01,40.22,26.21,18.54,65.73,5.1,99.8,3.59,3.97,195.5,5.68,2.09
2003-05-28,32.29,24.13,28.21,32.77,10.89,38.43,27.54,19.02,65.57,6.31,99.92,2.18,4.72,170.2,5.88,3.7
2003-05-29,31.71,24.19,27.95,32.52,10.92,37.74,26.82,19.03,67.42,0.62,100.14,2.29,4.4,162.4,5.48,3.19
2003-05-30,32.07,23.34,27.71,33.0,12.23,38.59,26.36,18.04,63.38,0.11,100.2,2.6,3.67,159.4,5.08,2.48
2003-05-31,32.77,23.16,27.97,33.87,11.8,38.54,26.74,17.84,59.8,0.1,100.2,1.13,1.98,157.2,2.64,1.51
2003-06-01,33.12,22.36,27.74,34.49,12.0,39.14,27.14,17.03,56.33,0.01,100.09,1.73,2.11,157.6,3.27,1.54
2003-06-02,32.92,23.26,28.09,34.42,11.43,38.85,27.42,17.97,59.56,0.01,99.98,1.85,2.75,165.7,3.78,1.93
2003-06-03,31.63,24.18,27.91,32.62,8.54,36.17,27.63,19.02,66.53,1.33,99.94,2.17,2.56,142.6,3.5,1.33
2003-06-04,30.1,25.27,27.69,30.78,8.03,34.89,26.86,20.3,76.9,15.38,99.89,3.02,3.32,164.1,4.99,1.97
2003-06-05,29.29,25.91,27.6,29.41,6.03,32.52,26.49,21.09,82.71,16.84,99.81,2.06,4.34,167.6,5.4,3.34
2003-06-06,30.32,24.3,27.32,30.34,7.7,34.98,27.28,19.19,72.1,1.32,99.84,2.66,6.5,185.9,7.79,5.13
2003-06-07,29.03,25.69,27.36,29.27,7.38,34.16,26.78,20.8,83.13,49.28,99.9,3.57,6.43,175.8,7.95,4.38
2003-06-08,29.14,25.92,27.53,29.09,6.38,32.71,26.33,21.08,83.52,29.45,99.99,1.86,5.88,181.5,6.77,4.91
2003-06-09,29.64,25.32,27.48,29.78,9.28,35.37,26.09,20.33,79.3,23.47,99.91,2.05,5.85,186.3,6.6,4.55
2003-06-10,28.64,27.18,27.91,28.52,4.01,30.98,26.97,22.78,91.84,66.84,99.75,3.65,4.49,170.8,5.79,2.14
2003-06-11,28.52,27.08,27.8,28.46,4.88,31.32,26.44,22.65,92.0,29.3,99.8,3.07,4.3,166.1,6.02,2.95
2003-06-12,27.93,26.56,27.25,27.76,3.67,30.06,26.39,21.91,92.29,9.71,99.97,2.6,6.26,160.6,7.49,4.89
2003-06-13,28.75,26.41,27.58,28.73,5.48,32.29,26.81,21.67,87.65,1.66,100.09,2.1,6.77,173.3,7.88,5.78
2003-06-14,28.37,26.48,27.43,28.24,4.18,30.65,26.47,21.74,89.74,1.11,100.23,3.83,6.0,170.7,7.82,3.99
2003-06-15,28.21,26.34,27.27,28.29,4.45,30.85,26.4,21.59,89.89,0.8,100.03,2.83,4.3,151.5,5.22,2.39
2003-06-16,28.31,25.51,26.91,28.5,6.16,31.84,25.68,20.57,85.51,0.46,99.92,1.93,3.21,100.7,4.28,2.35
2003-06-17,27.39,25.26,26.32,27.5,4.96,29.87,24.91,20.3,88.54,22.57,99.88,3.54,4.34,100.3,5.64,2.1
2003-06-18,27.67,25.91,26.79,27.72,4.9,30.59,25.69,21.07,90.35,45.16,99.95,4.36,4.63,136.6,6.13,1.77
2003-06-19,27.09,25.8,26.44,27.12,3.43,28.86,25.43,20.98,92.66,13.7,99.69,3.09,3.67,115.4,4.95,1.86
2003-06-20,27.83,25.75,26.79,27.8,5.25,30.77,25.52,20.97,88.79,13.44,99.43,4.57,5.92,133.1,7.68,3.11
2003-06-21,27.77,26.63,27.2,27.64,3.18,29.49,26.31,22.18,93.43,26.25,99.13,4.9,7.28,144.0,10.1,5.2
2003-06-22,27.94,26.62,27.28,27.71,3.54,29.98,26.44,22.09,92.53,52.16,99.44,6.06,7.82,153.0,11.69,5.63
2003-06-23,27.71,26.47,27.09,27.61,2.85,29.13,26.28,21.79,92.92,32.67,99.88,4.02,3.62,171.4,5.24,1.22
2003-06-24,27.99,26.24,27.12,28.04,5.0,31.12,26.12,21.49,90.49,0.69,99.99,3.42,4.49,166.5,6.64,3.22
2003-06-25,28.37,26.82,27.59,28.39,4.6,30.92,26.32,22.29,91.4,2.22,99.78,3.03,5.68,180.9,7.22,4.19
2003-06-26,28.23,26.67,27.45,28.2,4.27,31.07,26.8,22.08,91.32,6.25,99.78,5.05,7.16,187.7,10.21,5.16
2003-06-27,28.06,26.73,27.39,27.99,3.47,30.0,26.53,22.14,92.42,6.3,99.83,5.99,7.06,185.8,10.57,4.58
2003-06-28,28.37,26.72,27.55,28.35,4.51,31.13,26.62,22.14,90.95,15.71,99.82,1.7,5.56,194.9,6.62,4.92
2003-06-29,27.95,26.51,27.23,27.88,3.78,30.31,26.53,21.9,91.96,31.04,99.7,4.12,5.81,207.3,8.03,3.91
2003-06-30,27.71,26.51,27.11,27.65,3.2,29.43,26.23,21.89,93.19,12.5,99.75,3.45,3.75,178.5,5.56,2.11
2003-07-01,27.95,26.32,27.14,27.82,4.59,30.64,26.05,21.58,90.99,7.78,99.99,2.99,4.95,168.8,6.77,3.78
2003-07-02,28.24,26.32,27.28,28.31,5.17,31.28,26.11,21.5,89.65,3.24,100.35,3.34,4.86,154.7,6.7,3.36
2003-07-03,28.17,26.14,27.16,28.41,5.56,31.34,25.78,21.26,89.09,3.5,100.38,2.75,4.19,168.5,5.56,2.81
2003-07-04,28.39,26.29,27.34,28.54,5.67,31.71,26.04,21.48,88.76,4.36,100.27,1.81,3.46,164.9,4.38,2.57
2003-07-05,28.59,26.17,27.38,28.89,5.75,31.55,25.8,21.3,87.25,3.47,100.38,1.48,2.82,153.4,3.49,2.01
2003-07-06,28.59,26.67,27.63,28.69,5.05,31.26,26.21,21.95,89.64,4.9,100.36,2.27,3.64,178.5,4.52,2.25
2003-07-07,28.55,26.45,27.5,28.68,5.34,31.65,26.31,21.71,88.84,3.02,100.18,1.87,4.1,190.0,4.7,2.83
2003-07-08,27.97,26.34,27.15,27.92,3.33,29.78,26.45,21.58,90.97,7.22,100.07,3.19,4.44,173.7,6.02,2.83
2003-07-09,28.65,26.31,27.48,28.69,5.83,32.05,26.22,21.53,87.67,3.3,100.17,3.14,4.41,171.4,6.27,3.13
2003-07-10,27.9,26.19,27.05,28.13,4.91,30.54,25.63,21.37,90.71,4.53,100.21,3.44,3.82,178.4,5.54,2.1
2003-07-11,27.83,26.53,27.18,27.8,3.7,29.95,26.25,21.84,92.66,9.86,100.03,3.49,5.25,163.7,6.81,3.32
2003-07-12,27.97,26.85,27.41,27.81,2.83,29.42,26.59,22.27,93.58,10.61,100.01,4.44,4.83,171.9,7.41,2.97
2003-07-13,28.46,26.95,27.71,28.38,4.23,30.76,26.53,22.4,91.61,5.9,100.03,2.27,4.36,168.7,5.62,3.35
